,year,stage,stage_type,profile_icon,gc_leader,gc_stage_time_str,power,stage_grade
215,1994,Cluses,RR,p4,INDURAIN Miguel,4:54:58,527.1657135924308,0.0371919770773638
216,1994,Avoriaz,ITT,p5,INDURAIN Miguel,1:26:15,687.8143038926736,0.0502315789473684
217,1994,Lac Saint Point-Malbuisson,RR,p2,INDURAIN Miguel,5:50:37,182.93938840114816,0.0178321342925659
218,1994,Paris,RR,p1,INDURAIN Miguel,4:44:03,296.22438876239227,0.0112285714285714
219,1995,Saint-Brieuc,RR,p1,DURAND Jacky,0:09:00,881.449990324692,0.0383561643835616
220,1995,Lannion,RR,p1,DURAND Jacky,5:49:18,351.4476502339443,0.012969298245614
221,1995,Vitré,RR,p1,JALABERT Laurent,5:26:35,439.4376592400744,0.0112987551867219
222,1995,Le Havre,RR,p1,GOTTI Ivan,3:40:23,387.5690811806476,0.0119805194805194
223,1995,Dunkirk,RR,p1,GOTTI Ivan,5:51:46,430.1213970746932,0.008310606060606
224,1995,Charleroi,RR,p1,RIIS Bjarne,4:31:00,357.11584498303995,0.0068586387434554
225,1995,Liège,RR,p2,BRUYNEEL Johan,4:48:14,260.2071519867769,0.01786
226,1995,Séraing,ITT,p3,INDURAIN Miguel,1:04:16,432.8878824534162,0.0173518518518518
227,1995,La Plagne,RR,p5,INDURAIN Miguel,4:43:20,635.8725455971745,0.0411506024096385
228,1995,L'Alpe d'Huez,RR,p5,INDURAIN Miguel,5:14:38,599.9911971673376,0.0486163522012578
229,1995,Saint-Etienne,RR,p2,INDURAIN Miguel,4:49:07,253.23837429548956,0.0166010101010101
230,1995,Mende,RR,p5,INDURAIN Miguel,5:24:46,494.0878641813628,0.0202780269058295
231,1995,Revel,RR,p2,INDURAIN Miguel,6:09:59,192.8951413237554,0.0190582959641255
232,1995,Guzet-Neige,RR,p5,INDURAIN Miguel,4:31:39,431.6844221757782,0.0247044025157232
233,1995,Cauterets-Cambasque,RR,p5,INDURAIN Miguel,6:23:22,571.9715575717671,0.0413816425120772
235,1995,Bordeaux,RR,p1,INDURAIN Miguel,6:29:49,214.15619761030365,0.0106523809523809
236,1995,Limoges,RR,p1,INDURAIN Miguel,3:55:47,385.5850511235369,0.016077922077922
237,1995,Lac de Vassivière,ITT,p1,INDURAIN Miguel,0:57:34,703.499124621764,0.0238478260869565
238,1995,Paris,RR,p1,INDURAIN Miguel,3:39:46,390.32801052792985,0.01252
239,1996,'s-Hertogenbosch,RR,p1,ZÜLLE Alex,0:10:53,643.0446421781995,0.0089361702127659
240,1996,'s-Hertogenbosch,RR,p1,ZÜLLE Alex,5:00:01,334.06064220057,0.0054497607655502
241,1996,Wasquehal,RR,p1,ZÜLLE Alex,6:29:22,262.62922446299,0.0055838383838383
242,1996,Nogent-sur-Oise,RR,p1,MONCASSIN Frédéric,5:29:21,235.8888848398652,0.0077538461538461
243,1996,Lac de Madine,RR,p1,HEULOT Stephane,5:43:50,344.11869454992524,0.0100215517241379
244,1996,Besançon,RR,p1,HEULOT Stephane,6:55:53,242.65802139699372,0.0104049586776859
245,1996,Aix les Bains,RR,p2,HEULOT Stephane,5:05:39,203.8245305934009,0.0057101449275362
246,1996,Arc 1800,RR,p5,BERZIN Evgeni,5:48:18,470.5464657596994,0.0354924623115577
247,1996,Val d'Isere,ITT,p5,BERZIN Evgeni,0:51:53,647.027939708126,0.0510163934426229
249,1996,Gap,RR,p2,RIIS Bjarne,5:08:10,249.03458025588577,0.0193285371702637
250,1996,Valence,RR,p2,RIIS Bjarne,5:12:03,231.29498027471487,0.0218366336633663
251,1996,Le Puy en Velay,RR,p2,RIIS Bjarne,5:44:33,101.0343025803979,0.0282996515679442
252,1996,Superbesse,RR,p3,RIIS Bjarne,4:04:19,297.53651571414065,0.0198587570621468
253,1996,Tulle,RR,p3,RIIS Bjarne,4:11:22,319.57642320498667,0.0208257372654155
254,1996,Villeneuve Sur Lot,RR,p1,RIIS Bjarne,4:00:30,472.1143019992687,0.0149375
255,1996,Hautacam,RR,p5,RIIS Bjarne,4:56:16,415.2132886886933,0.0177939698492462
256,1996,Pamplona,RR,p4,RIIS Bjarne,7:07:08,474.8520922381142,0.0332824427480916
257,1996,Hendaye,RR,p2,RIIS Bjarne,4:27:58,192.6174035806661,0.0276245954692556
258,1996,Bordeaux,RR,p1,RIIS Bjarne,5:25:11,354.2411466676794,0.0077439293598233
259,1996,Saint-Emilion,ITT,p1,RIIS Bjarne,1:17:49,563.70419220152,0.0100787401574803
260,1996,Paris,RR,p1,RIIS Bjarne,3:30:44,395.9473553070814,0.0117966101694915
261,1997,Rouen,RR,p1,BOARDMAN Chris,0:08:20,762.718737894471,0.0175342465753424
262,1997,Forges-les-Eaux,RR,p1,CIPOLLINI Mario,4:39:59,375.4726843015122,0.0108333333333333
263,1997,Vire,RR,p1,CIPOLLINI Mario,6:27:47,361.018711732591,0.0107175572519083
264,1997,Plumelec,RR,p3,CIPOLLINI Mario,4:54:44,307.9967227060929,0.0114642857142857
265,1997,Puy-du-Fou,RR,p1,CIPOLLINI Mario,5:46:42,296.9556295795982,0.0081121076233183
266,1997,La Châtre,RR,p1,VASSEUR Cédric,6:16:44,355.9428064914501,0.0084653654802908
