,year,Race_url,stage,stage_url,stage_type,stage_winner_time_str,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,gc_stage_time_str,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time,power,gc_weight,gc_height,stage_grade,gc_speed
684,2017,race/tour-de-france/2017,Vittel,https://www.procyclingstats.com/race/tour-de-france/2017/stage-4,RR,4:53:54,p1,DÉMARE Arnaud,rider/arnaud-demare,17634,207.5,4:53:54,1404.0,THOMAS Geraint,rider/geraint-thomas,17634,326.5947349154027,71.0,1.83,0.0067662650602409,11.76704094363162
685,2017,race/tour-de-france/2017,La Planche des Belles Filles,https://www.procyclingstats.com/race/tour-de-france/2017/stage-5,RR,3:44:06,p5,ARU Fabio,rider/fabio-aru,13446,160.5,3:44:26,2348.0,FROOME Chris,rider/christopher-froome,13466,137.25129349136824,68.0,1.86,0.0146292834890965,11.918906876578047
686,2017,race/tour-de-france/2017,Troyes,https://www.procyclingstats.com/race/tour-de-france/2017/stage-6,RR,5:05:34,p1,KITTEL Marcel,rider/marcel-kittel,18334,216.0,5:05:34,1735.0,FROOME Chris,rider/christopher-froome,18334,332.1455666807054,68.0,1.86,0.0080324074074074,11.781389767644812
687,2017,race/tour-de-france/2017,Nuits-Saint-Georges,https://www.procyclingstats.com/race/tour-de-france/2017/stage-7,RR,5:03:18,p1,KITTEL Marcel,rider/marcel-kittel,18198,213.5,5:03:18,1578.0,FROOME Chris,rider/christopher-froome,18198,325.4441930201091,68.0,1.86,0.0073911007025761,11.732058467963512
688,2017,race/tour-de-france/2017,Station des Rousses,https://www.procyclingstats.com/race/tour-de-france/2017/stage-8,RR,4:30:29,p4,CALMEJANE Lilian,rider/lilian-calmejane,16229,187.5,4:31:19,3591.0,FROOME Chris,rider/christopher-froome,16279,159.69832180085703,68.0,1.86,0.019152,11.517906505313594
689,2017,race/tour-de-france/2017,Chambéry,https://www.procyclingstats.com/race/tour-de-france/2017/stage-9,RR,5:07:22,p4,URÁN Rigoberto,rider/rigoberto-uran,18442,181.5,5:07:22,4696.0,FROOME Chris,rider/christopher-froome,18442,165.92873196067308,68.0,1.86,0.0258732782369146,9.841665762932436
690,2017,race/tour-de-france/2017,Bergerac,https://www.procyclingstats.com/race/tour-de-france/2017/stage-10,RR,4:01:00,p1,KITTEL Marcel,rider/marcel-kittel,14460,178.0,4:01:00,1407.0,FROOME Chris,rider/christopher-froome,14460,374.8431344724026,68.0,1.86,0.0079044943820224,12.309820193637622
691,2017,race/tour-de-france/2017,Pau,https://www.procyclingstats.com/race/tour-de-france/2017/stage-11,RR,4:34:27,p1,KITTEL Marcel,rider/marcel-kittel,16467,203.5,4:34:27,1163.0,FROOME Chris,rider/christopher-froome,16467,368.7449899664071,68.0,1.86,0.0057149877149877,12.35804943219773
692,2017,race/tour-de-france/2017,Peyragudes,https://www.procyclingstats.com/race/tour-de-france/2017/stage-12,RR,5:49:38,p5,BARDET Romain,rider/romain-bardet,20978,214.5,5:49:40,4903.0,ARU Fabio,rider/fabio-aru,20980,147.8460991198801,63.0,1.83,0.0228578088578088,10.224022878932317
693,2017,race/tour-de-france/2017,Foix,https://www.procyclingstats.com/race/tour-de-france/2017/stage-13,RR,2:36:29,p4,BARGUIL Warren,rider/warren-barguil,9389,101.0,2:38:17,2856.0,ARU Fabio,rider/fabio-aru,9497,186.28912219295856,63.0,1.83,0.0282772277227722,10.634937348636411
694,2017,race/tour-de-france/2017,Rodez,https://www.procyclingstats.com/race/tour-de-france/2017/stage-14,RR,4:21:56,p1,MATTHEWS Michael,rider/michael-matthews,15716,181.5,4:21:57,1786.0,FROOME Chris,rider/christopher-froome,15717,322.0666048614817,68.0,1.86,0.0098402203856749,11.5480053445314
695,2017,race/tour-de-france/2017,Le Puy-en-Velay,https://www.procyclingstats.com/race/tour-de-france/2017/stage-15,RR,4:41:47,p2,MOLLEMA Bauke,rider/bauke-mollema,16907,189.5,4:48:12,3164.0,FROOME Chris,rider/christopher-froome,17292,342.29590085517407,68.0,1.86,0.0166965699208443,10.9588248901226
696,2017,race/tour-de-france/2017,Romans-sur-Isère,https://www.procyclingstats.com/race/tour-de-france/2017/stage-16,RR,3:38:15,p1,MATTHEWS Michael,rider/michael-matthews,13095,165.0,3:38:15,2033.0,FROOME Chris,rider/christopher-froome,13095,421.244231938457,68.0,1.86,0.0123212121212121,12.600229095074456
697,2017,race/tour-de-france/2017,Serre-Chevalier,https://www.procyclingstats.com/race/tour-de-france/2017/stage-17,RR,5:07:41,p4,ROGLIČ Primož,rider/primoz-roglic,18461,183.0,5:08:54,5064.0,FROOME Chris,rider/christopher-froome,18534,176.66041178478574,68.0,1.86,0.0276721311475409,9.873745548721269
698,2017,race/tour-de-france/2017,Izoard,https://www.procyclingstats.com/race/tour-de-france/2017/stage-18,RR,4:40:33,p5,BARGUIL Warren,rider/warren-barguil,16833,179.5,4:40:53,4059.0,FROOME Chris,rider/christopher-froome,16853,163.916318690292,68.0,1.86,0.0226128133704735,10.650922684388537
699,2017,race/tour-de-france/2017,Salon-de-Provence,https://www.procyclingstats.com/race/tour-de-france/2017/stage-19,RR,5:06:09,p1,BOASSON HAGEN Edvald,rider/edvald-boasson-hagen,18369,222.5,5:18:36,2613.0,FROOME Chris,rider/christopher-froome,19116,337.4673511853588,68.0,1.86,0.0117438202247191,11.639464323080142
700,2017,race/tour-de-france/2017,Marseille,https://www.procyclingstats.com/race/tour-de-france/2017/stage-20,ITT,0:28:15,p1,BODNAR Maciej,rider/maciej-bodnar,1695,22.5,0:28:21,160.0,FROOME Chris,rider/christopher-froome,1701,454.9887357750004,68.0,1.86,0.0071111111111111,13.227513227513228
701,2017,race/tour-de-france/2017,Paris,https://www.procyclingstats.com/race/tour-de-france/2017/stage-21,RR,2:25:39,p1,GROENEWEGEN Dylan,rider/dylan-groenewegen,8739,105.0,2:25:39,519.0,FROOME Chris,rider/christopher-froome,8739,336.80681659560105,68.0,1.86,0.0049428571428571,12.01510470305527
702,2018,race/tour-de-france/2018, Fontenay-le-Comte,https://www.procyclingstats.com/race/tour-de-france/2018/stage-1,RR,4:23:32,p1,GAVIRIA Fernando,rider/fernando-gaviria,15812,201.0,4:23:32,454.0,GAVIRIA Fernando,rider/fernando-gaviria,15812,383.5559476221824,71.0,1.8,0.0022587064676616,12.71186440677966
703,2018,race/tour-de-france/2018,La Roche-sur-Yon,https://www.procyclingstats.com/race/tour-de-france/2018/stage-2,RR,4:06:37,p1,SAGAN Peter,rider/peter-sagan,14797,182.5,4:06:37,1395.0,SAGAN Peter,rider/peter-sagan,14797,380.42529031083575,78.0,1.82,0.0076438356164383,12.3335811313104
704,2018,race/tour-de-france/2018,Sarzeau,https://www.procyclingstats.com/race/tour-de-france/2018/stage-4,RR,4:25:01,p1,GAVIRIA Fernando,rider/fernando-gaviria,15901,195.0,4:25:01,1155.0,VAN AVERMAET Greg,rider/greg-van-avermaet,15901,363.9087058558176,74.0,1.81,0.0059230769230769,12.2633796616565
705,2018,race/tour-de-france/2018,Quimper,https://www.procyclingstats.com/race/tour-de-france/2018/stage-5,RR,4:48:06,p3,SAGAN Peter,rider/peter-sagan,17286,204.5,4:48:06,2704.0,VAN AVERMAET Greg,rider/greg-van-avermaet,17286,395.9070396118227,74.0,1.81,0.0132224938875305,11.830382968876547
706,2018,race/tour-de-france/2018,Mûr de Bretagne,https://www.procyclingstats.com/race/tour-de-france/2018/stage-6,RR,4:13:43,p3,MARTIN Dan,rider/dan-martin,15223,181.0,4:13:46,2027.0,VAN AVERMAET Greg,rider/greg-van-avermaet,15226,386.0060643881346,74.0,1.81,0.0111988950276243,11.88756075134638
707,2018,race/tour-de-france/2018,Chartres,https://www.procyclingstats.com/race/tour-de-france/2018/stage-7,RR,5:43:42,p1,GROENEWEGEN Dylan,rider/dylan-groenewegen,20622,231.0,5:43:42,2255.0,VAN AVERMAET Greg,rider/greg-van-avermaet,20622,299.3974594468608,74.0,1.81,0.0097619047619047,11.20162932790224
708,2018,race/tour-de-france/2018,Amiens Métropole,https://www.procyclingstats.com/race/tour-de-france/2018/stage-8,RR,4:23:36,p1,GROENEWEGEN Dylan,rider/dylan-groenewegen,15816,181.0,4:23:36,1284.0,VAN AVERMAET Greg,rider/greg-van-avermaet,15816,304.7943527490573,74.0,1.81,0.0070939226519337,11.444107233181589
709,2018,race/tour-de-france/2018,Roubaix,https://www.procyclingstats.com/race/tour-de-france/2018/stage-9,RR,3:24:26,p1,DEGENKOLB John,rider/john-degenkolb,12266,156.5,3:24:26,618.0,VAN AVERMAET Greg,rider/greg-van-avermaet,12266,396.9848857171551,74.0,1.81,0.0039488817891373,12.758845589434207
710,2018,race/tour-de-france/2018,Le Grand-Bornand,https://www.procyclingstats.com/race/tour-de-france/2018/stage-10,RR,4:25:27,p4,ALAPHILIPPE Julian,rider/julian-alaphilippe,15927,158.5,4:27:11,4254.0,VAN AVERMAET Greg,rider/greg-van-avermaet,16031,184.36150428705145,74.0,1.81,0.0268391167192429,9.887093755848044
711,2018,race/tour-de-france/2018,La Rosière Espace San Bernardo,https://www.procyclingstats.com/race/tour-de-france/2018/stage-11,RR,3:29:36,p5,THOMAS Geraint,rider/geraint-thomas,12576,108.5,3:29:36,4093.0,THOMAS Geraint,rider/geraint-thomas,12576,206.25536148030287,71.0,1.83,0.0377235023041474,8.627544529262087
712,2018,race/tour-de-france/2018,Alpe d'Huez,https://www.procyclingstats.com/race/tour-de-france/2018/stage-12,RR,5:18:37,p5,THOMAS Geraint,rider/geraint-thomas,19117,175.5,5:18:37,5362.0,THOMAS Geraint,rider/geraint-thomas,19117,182.83547167487612,71.0,1.83,0.0305527065527065,9.180310718208924
713,2018,race/tour-de-france/2018,Valence,https://www.procyclingstats.com/race/tour-de-france/2018/stage-13,RR,3:45:55,p1,SAGAN Peter,rider/peter-sagan,13555,169.5,3:45:55,1302.0,THOMAS Geraint,rider/geraint-thomas,13555,392.12845877348616,71.0,1.83,0.0076814159292035,12.50461084470675
714,2018,race/tour-de-france/2018,Mende,https://www.procyclingstats.com/race/tour-de-france/2018/stage-14,RR,4:41:57,p2,FRAILE Omar,rider/omar-fraile,16917,188.0,5:00:06,3365.0,THOMAS Geraint,rider/geraint-thomas,18006,316.5232546323309,71.0,1.83,0.0178989361702127,10.440964123070088
715,2018,race/tour-de-france/2018,Carcassonne,https://www.procyclingstats.com/race/tour-de-france/2018/stage-15,RR,4:25:52,p4,CORT Magnus,rider/magnus-cort-nielsen,15952,181.0,4:39:03,2917.0,THOMAS Geraint,rider/geraint-thomas,16743,131.38907537902185,71.0,1.83,0.0161160220994475,10.810487965119751
716,2018,race/tour-de-france/2018,Bagnères-de-Luchon,https://www.procyclingstats.com/race/tour-de-france/2018/stage-16,RR,5:13:22,p4,ALAPHILIPPE Julian,rider/julian-alaphilippe,18802,218.0,5:22:14,3521.0,THOMAS Geraint,rider/geraint-thomas,19334,139.89808316332224,71.0,1.83,0.0161513761467889,11.275473259542776
717,2018,race/tour-de-france/2018,Col Du Portet,https://www.procyclingstats.com/race/tour-de-france/2018/stage-17,RR,2:21:27,p5,QUINTANA Nairo,rider/nairo-quintana,8487,65.0,2:22:14,3274.0,THOMAS Geraint,rider/geraint-thomas,8534,235.70054463020108,71.0,1.83,0.0503692307692307,7.616592453714554
718,2018,race/tour-de-france/2018,Pau,https://www.procyclingstats.com/race/tour-de-france/2018/stage-18,RR,3:46:50,p1,DÉMARE Arnaud,rider/arnaud-demare,13610,171.0,3:46:50,1312.0,THOMAS Geraint,rider/geraint-thomas,13610,397.36200846744254,71.0,1.83,0.007672514619883,12.564290962527553
719,2018,race/tour-de-france/2018,Laruns,https://www.procyclingstats.com/race/tour-de-france/2018/stage-19,RR,5:28:17,p4,ROGLIČ Primož,rider/primoz-roglic,19697,200.5,5:28:36,5046.0,THOMAS Geraint,rider/geraint-thomas,19716,174.71843316133484,71.0,1.83,0.0251670822942643,10.169405558936903
720,2018,race/tour-de-france/2018,Espelette,https://www.procyclingstats.com/race/tour-de-france/2018/stage-20,ITT,0:40:52,p3,DUMOULIN Tom,rider/tom-dumoulin,2452,31.0,0:41:06,543.0,THOMAS Geraint,rider/geraint-thomas,2466,489.9048490956983,71.0,1.83,0.017516129032258,12.570965125709652
721,2018,race/tour-de-france/2018,Paris,https://www.procyclingstats.com/race/tour-de-france/2018/stage-21,RR,2:46:36,p1,KRISTOFF Alexander,rider/alexander-kristoff,9996,116.0,2:46:36,732.0,THOMAS Geraint,rider/geraint-thomas,9996,312.0257222714566,71.0,1.83,0.0063103448275862,11.604641856742695
722,2019,race/tour-de-france/2019,Brussels,https://www.procyclingstats.com/race/tour-de-france/2019/stage-1,RR,4:22:47,p3,TEUNISSEN Mike,rider/mike-teunissen,15767,194.5,4:22:47,1582.0,TEUNISSEN Mike,rider/mike-teunissen,15767,400.9141341060822,73.0,1.84,0.0081336760925449,12.335891418786073
723,2019,race/tour-de-france/2019,Épernay,https://www.procyclingstats.com/race/tour-de-france/2019/stage-3,RR,4:40:29,p3,ALAPHILIPPE Julian,rider/julian-alaphilippe,16829,215.0,4:40:29,2299.0,ALAPHILIPPE Julian,rider/julian-alaphilippe,16829,449.15036798975086,62.0,1.73,0.0106930232558139,12.775565987283857
724,2019,race/tour-de-france/2019,Nancy,https://www.procyclingstats.com/race/tour-de-france/2019/stage-4,RR,5:09:20,p2,VIVIANI Elia,rider/elia-viviani,18560,213.5,5:09:20,1555.0,ALAPHILIPPE Julian,rider/julian-alaphilippe,18560,319.5732698389179,62.0,1.73,0.0072833723653395,11.50323275862069
725,2019,race/tour-de-france/2019,Colmar,https://www.procyclingstats.com/race/tour-de-france/2019/stage-5,RR,4:02:33,p2,SAGAN Peter,rider/peter-sagan,14553,175.5,4:02:33,2325.0,ALAPHILIPPE Julian,rider/julian-alaphilippe,14553,401.1753448384154,62.0,1.73,0.0132478632478632,12.059369202226344
726,2019,race/tour-de-france/2019,La Planche des Belles Filles,https://www.procyclingstats.com/race/tour-de-france/2019/stage-6,RR,4:29:03,p5,TEUNS Dylan,rider/dylan-teuns,16143,160.5,4:29:14,3944.0,CICCONE Giulio,rider/giulio-ciccone,16154,142.12050653350596,58.0,1.76,0.0245732087227414,9.935619660765136
727,2019,race/tour-de-france/2019,Chalon-sur-Saône,https://www.procyclingstats.com/race/tour-de-france/2019/stage-7,RR,6:02:44,p2,GROENEWEGEN Dylan,rider/dylan-groenewegen,21764,230.0,6:02:44,2367.0,CICCONE Giulio,rider/giulio-ciccone,21764,267.3421351467035,58.0,1.76,0.010291304347826,10.567910310604669
728,2019,race/tour-de-france/2019,Saint-Étienne,https://www.procyclingstats.com/race/tour-de-france/2019/stage-8,RR,5:00:17,p2,DE GENDT Thomas,rider/thomas-de-gendt,18017,200.0,5:00:23,3844.0,ALAPHILIPPE Julian,rider/julian-alaphilippe,18023,358.9086994662158,62.0,1.73,0.01922,11.096931698385395
729,2019,race/tour-de-france/2019,Brioude,https://www.procyclingstats.com/race/tour-de-france/2019/stage-9,RR,4:03:12,p2,IMPEY Daryl,rider/daryl-impey,14592,170.5,4:19:37,2717.0,ALAPHILIPPE Julian,rider/julian-alaphilippe,15577,328.6521294426342,62.0,1.73,0.0159354838709677,10.945624959876742
730,2019,race/tour-de-france/2019,Albi,https://www.procyclingstats.com/race/tour-de-france/2019/stage-10,RR,4:49:39,p2,VAN AERT Wout,rider/wout-van-aert,17379,217.5,4:49:39,3031.0,ALAPHILIPPE Julian,rider/julian-alaphilippe,17379,446.2222721882964,62.0,1.73,0.013935632183908,12.515104436388745
